C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/07/2019,12:00:00,REGULAR,0001058314,0001635342                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/07/2019,16:00:00,REGULAR,0001058543,0001635674                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/07/2019,20:00:00,REGULAR,0001058798,0001635993                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/08/2019,00:00:00,REGULAR,0001058961,0001636132                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/08/2019,04:00:00,REGULAR,0001058972,0001636139                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/08/2019,08:00:00,REGULAR,0001059007,0001636379                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/08/2019,12:00:00,REGULAR,0001059167,0001637008                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/08/2019,16:00:00,REGULAR,0001059446,0001637269                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/08/2019,20:00:00,REGULAR,0001059985,0001637729                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/09/2019,00:00:00,REGULAR,0001060205,0001637866                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/09/2019,04:00:00,REGULAR,0001060219,0001637881                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/09/2019,08:00:00,REGULAR,0001060259,0001638146                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/09/2019,12:00:00,REGULAR,0001060425,0001638860                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/09/2019,16:00:00,REGULAR,0001060721,0001639176                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/09/2019,20:00:00,REGULAR,0001061268,0001639669                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,00:00:00,REGULAR,0001061474,0001639856                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,04:00:00,REGULAR,0001061497,0001639868                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,08:00:00,REGULAR,0001061540,0001640145                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,09:10:22,REGULAR,0001061591,0001640474                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,11:11:09,REGULAR,0001061637,0001640771                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,12:00:00,REGULAR,0001061684,0001640838                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,16:00:00,REGULAR,0001061981,0001641186                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/10/2019,20:00:00,REGULAR,0001062540,0001641709                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/11/2019,00:00:00,REGULAR,0001062775,0001641890                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/11/2019,04:00:00,REGULAR,0001062793,0001641901                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/11/2019,08:00:00,REGULAR,0001062826,0001642176                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/11/2019,12:00:00,REGULAR,0001063000,0001642855                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/11/2019,16:00:00,REGULAR,0001063248,0001643148                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/11/2019,20:00:00,REGULAR,0001063822,0001643650                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,00:00:00,REGULAR,0001064075,0001643855                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,04:00:00,REGULAR,0001064096,0001643863                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,08:00:00,REGULAR,0001064132,0001644130                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,09:01:45,REGULAR,0001064166,0001644408                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,12:00:00,REGULAR,0001064264,0001644796                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,16:00:00,REGULAR,0001064562,0001645121                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/12/2019,20:00:00,REGULAR,0001065125,0001645620                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/06/2019,00:00:00,REGULAR,0006140720,0008288725                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/06/2019,04:00:00,REGULAR,0006140742,0008288751                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/06/2019,08:00:00,REGULAR,0006140761,0008288821                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/06/2019,12:00:00,REGULAR,0006140889,0008289028                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/06/2019,16:00:00,REGULAR,0006141170,0008289262                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/06/2019,20:00:00,REGULAR,0006141486,0008289479                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/07/2019,00:00:00,REGULAR,0006141674,0008289566                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/07/2019,04:00:00,REGULAR,0006141705,0008289579                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/07/2019,08:00:00,REGULAR,0006141729,0008289623                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/07/2019,12:00:00,REGULAR,0006141844,0008289780                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/07/2019,16:00:00,REGULAR,0006142066,0008289976                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/07/2019,20:00:00,REGULAR,0006142306,0008290157                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/08/2019,00:00:00,REGULAR,0006142454,0008290234                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/08/2019,04:00:00,REGULAR,0006142470,0008290248                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/08/2019,08:00:00,REGULAR,0006142517,0008290523                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/08/2019,12:00:00,REGULAR,0006142696,0008291095                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/08/2019,16:00:00,REGULAR,0006142959,0008291340                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/08/2019,20:00:00,REGULAR,0006143536,0008291628                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/09/2019,00:00:00,REGULAR,0006143743,0008291712                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/09/2019,04:00:00,REGULAR,0006143758,0008291720                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/09/2019,08:00:00,REGULAR,0006143807,0008291989                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/09/2019,12:00:00,REGULAR,0006144025,0008292586                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/09/2019,16:00:00,REGULAR,0006144294,0008292793                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/09/2019,20:00:00,REGULAR,0006144849,0008293140                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,00:00:00,REGULAR,0006145050,0008293258                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,04:00:00,REGULAR,0006145066,0008293266                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,08:00:00,REGULAR,0006145104,0008293562                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,09:10:22,REGULAR,0006145172,0008293865                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,11:11:09,REGULAR,0006145260,0008294106                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,12:00:00,REGULAR,0006145293,0008294145                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,16:00:00,REGULAR,0006145562,0008294364                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/10/2019,20:00:00,REGULAR,0006146115,0008294698                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/11/2019,00:00:00,REGULAR,0006146338,0008294830                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/11/2019,04:00:00,REGULAR,0006146353,0008294841                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/11/2019,08:00:00,REGULAR,0006146387,0008295125                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/11/2019,12:00:00,REGULAR,0006146571,0008295756                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/11/2019,16:00:00,REGULAR,0006146848,0008295971                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/11/2019,20:00:00,REGULAR,0006147401,0008296290                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,00:00:00,REGULAR,0006147601,0008296426                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,04:00:00,REGULAR,0006147623,0008296432                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,08:00:00,REGULAR,0006147657,0008296725                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,09:01:45,REGULAR,0006147705,0008296979                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,12:00:00,REGULAR,0006147836,0008297298                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,16:00:00,REGULAR,0006148121,0008297519                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,04/12/2019,20:00:00,REGULAR,0006148714,0008297836                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/06/2019,00:00:00,REGULAR,0005701375,0006561065                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/06/2019,04:00:00,REGULAR,0005701407,0006561075                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/06/2019,08:00:00,REGULAR,0005701435,0006561150                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/06/2019,12:00:00,REGULAR,0005701539,0006561286                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/06/2019,16:00:00,REGULAR,0005701742,0006561423                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/06/2019,20:00:00,REGULAR,0005701995,0006561542                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,04/07/2019,00:00:00,REGULAR,0005702155,0006561591                                            
